,E1R1,E2R1,E3R1,E4R1,E5R1,E6R1,E7R1,E8R1,E9R1,E10R1,E11R1,E12R1,E13R1,E14R1,E15R1,E16R1,E17R1,E18R1,E19R1,E20R1,E21R1,E22R1,E23R1,E24R1,E25R1,E26R1,E27R1,E28R1,E29R1,E30R1,E31R1,E32R1,E33R1,E34R1,E35R1,E36R1,E37R1,E38R1,E39R1,E40R1,E41R1,E42R1,E43R1,E44R1,E45R1,E46R1,E47R1,E48R1,E49R1,E50R1,E1R2,E2R2,E3R2,E4R2,E5R2,E6R2,E7R2,E8R2,E9R2,E10R2,E11R2,E12R2,E13R2,E14R2,E15R2,E16R2,E17R2,E18R2,E19R2,E20R2,E21R2,E22R2,E23R2,E24R2,E25R2,E26R2,E27R2,E28R2,E29R2,E30R2,E31R2,E32R2,E33R2,E34R2,E35R2,E36R2,E37R2,E38R2,E39R2,E40R2,E41R2,E42R2,E43R2,E44R2,E45R2,E46R2,E47R2,E48R2,E49R2,E50R2,E1R3,E2R3,E3R3,E4R3,E5R3,E6R3,E7R3,E8R3,E9R3,E10R3,E11R3,E12R3,E13R3,E14R3,E15R3,E16R3,E17R3,E18R3,E19R3,E20R3,E21R3,E22R3,E23R3,E24R3,E25R3,E26R3,E27R3,E28R3,E29R3,E30R3,E31R3,E32R3,E33R3,E34R3,E35R3,E36R3,E37R3,E38R3,E39R3,E40R3,E41R3,E42R3,E43R3,E44R3,E45R3,E46R3,E47R3,E48R3,E49R3,E50R3
G001,0.000664,0.032392,0.022858,0.022765,0.021088,0.023949,0.019785,0.018103,0.017113,0.018289,0.016238,0.015414,0.018324,0.020759,0.025581,0.022468,0.02347,0.019499,0.021973,0.027545,0.020501,0.028609,0.038877,0.027261,0.022696,0.017235,0.0245,0.0168,0.022371,0.021059,0.019205,0.01822,0.026574,0.018143,0.020139,0.01692,0.026815,0.021375,0.024381,0.022122,0.02614,0.024045,0.0224,0.020219,0.020154,0.026876,0.024159,0.027669,0.018492,0.025065,0.001366,0.020787,0.019108,0.025093,0.025958,0.02252,0.020788,0.019473,0.028481,0.019879,0.02197,0.021061,0.01654,0.027026,0.02632,0.024577,0.026302,0.023842,0.019092,0.017183,0.023437,0.022458,0.017224,0.025946,0.025306,0.021841,0.02166,0.019622,0.018615,0.021707,0.028365,0.017297,0.020534,0.017997,0.017758,0.03092,0.025291,0.020411,0.026934,0.01599,0.022695,0.024079,0.021989,0.025942,0.020547,0.021513,0.024656,0.026601,0.017537,0.021004,0.00057,0.021611,0.020598,0.018846,0.022305,0.023472,0.023888,0.015903,0.028573,0.024773,0.030074,0.026686,0.021467,0.017584,0.01688,0.026706,0.029264,0.026092,0.020592,0.021439,0.022024,0.018034,0.019397,0.02306,0.012947,0.020615,0.021045,0.019026,0.023931,0.028478,0.020755,0.014291,0.019911,0.022589,0.022035,0.015563,0.018053,0.021781,0.031482,0.02157,0.017358,0.024983,0.023511,0.019336,0.018735,0.021602,0.021022,0.028054,0.022802,0.024037
G002,0.020614,0.000868,0.024675,0.024737,0.022821,0.025921,0.022971,0.021004,0.018638,0.019763,0.017801,0.016426,0.01969,0.022391,0.027694,0.024309,0.025232,0.020959,0.023415,0.029811,0.022305,0.030821,0.041939,0.029313,0.024354,0.018602,0.02723,0.018241,0.024185,0.022796,0.020922,0.018297,0.028896,0.019435,0.021936,0.017709,0.029099,0.02285,0.026554,0.023137,0.028176,0.026048,0.024038,0.020307,0.021875,0.028992,0.025823,0.030093,0.02023,0.027637,0.030248,0.001219,0.020614,0.027294,0.02816,0.023952,0.023781,0.022422,0.030994,0.02126,0.023775,0.022918,0.017965,0.029429,0.02832,0.026397,0.028342,0.025865,0.020569,0.018552,0.025492,0.024297,0.018576,0.028,0.027509,0.023725,0.024422,0.021091,0.020215,0.023642,0.030768,0.017161,0.02207,0.019126,0.019028,0.03203,0.027462,0.021804,0.029126,0.016709,0.024699,0.025987,0.024005,0.026021,0.022301,0.023281,0.026389,0.028763,0.018896,0.023451,0.027835,0.001562,0.022091,0.020354,0.024083,0.025449,0.027322,0.018109,0.030811,0.026519,0.032666,0.028784,0.023274,0.01902,0.018173,0.028949,0.031514,0.028283,0.022312,0.023322,0.023723,0.019431,0.020847,0.025207,0.013964,0.022337,0.023573,0.020434,0.025646,0.030683,0.022372,0.014399,0.021258,0.024196,0.023759,0.016228,0.019512,0.02361,0.034182,0.022458,0.018559,0.027033,0.025253,0.019386,0.020187,0.023476,0.022493,0.030281,0.02455,0.02673
G003,0.017795,0.030759,0.002474,0.021434,0.018537,0.022417,0.019716,0.018191,0.01535,0.017268,0.015226,0.014313,0.01717,0.019466,0.024145,0.021174,0.02205,0.018279,0.020573,0.025909,0.019462,0.026632,0.036483,0.025657,0.021256,0.015623,0.023754,0.015865,0.020817,0.019906,0.017967,0.015895,0.02508,0.017895,0.019066,0.015868,0.025271,0.01997,0.023031,0.020821,0.024531,0.022556,0.020895,0.018936,0.018949,0.02501,0.022672,0.026177,0.017695,0.024169,0.02646,0.019548,0.002,0.023699,0.022971,0.02112,0.020644,0.019319,0.025528,0.018517,0.020626,0.019857,0.015661,0.025515,0.024738,0.023005,0.02467,0.022352,0.017854,0.016005,0.022174,0.021008,0.016269,0.024222,0.02379,0.019736,0.021262,0.018392,0.017489,0.020492,0.026458,0.014941,0.019034,0.017444,0.01658,0.029,0.023945,0.018968,0.025283,0.014992,0.021307,0.0226,0.020761,0.024489,0.019209,0.020281,0.023142,0.024756,0.016528,0.020339,0.024273,0.020295,0.002385,0.017694,0.019788,0.022176,0.023697,0.015663,0.02554,0.023085,0.028419,0.025073,0.020305,0.016752,0.015861,0.024957,0.027538,0.024461,0.019303,0.020222,0.020579,0.017088,0.018092,0.021743,0.012223,0.018453,0.020488,0.017734,0.022262,0.026764,0.019414,0.012543,0.018747,0.022009,0.020755,0.014704,0.016998,0.020495,0.029775,0.02027,0.016188,0.02345,0.022088,0.018209,0.017572,0.020255,0.019708,0.026455,0.021461,0.023369
G004,0.014015,0.023895,0.016901,0.000346,0.015576,0.017586,0.015486,0.014298,0.012712,0.013552,0.012002,0.011306,0.013291,0.015064,0.018851,0.016482,0.017192,0.014441,0.016067,0.020417,0.015309,0.021085,0.028504,0.020145,0.016631,0.012661,0.01834,0.012268,0.016383,0.015665,0.01422,0.013482,0.019606,0.013954,0.014842,0.012259,0.019752,0.015632,0.017777,0.016475,0.019169,0.017709,0.016395,0.014843,0.014992,0.019854,0.017768,0.020554,0.013782,0.018769,0.020665,0.015458,0.014066,0.000158,0.019119,0.016524,0.016198,0.015208,0.021208,0.014581,0.01619,0.015685,0.012285,0.019956,0.019431,0.018056,0.019352,0.017551,0.014088,0.012725,0.017257,0.016366,0.012527,0.019128,0.018638,0.016108,0.016629,0.014331,0.01361,0.016159,0.02093,0.012515,0.015052,0.013684,0.012968,0.022556,0.0187,0.014957,0.01988,0.01167,0.016736,0.017773,0.016081,0.019132,0.015136,0.015689,0.018087,0.019594,0.01295,0.015982,0.019188,0.016005,0.015185,0.001543,0.016468,0.017243,0.018446,0.012371,0.021096,0.018222,0.022263,0.019752,0.015933,0.012944,0.01226,0.019506,0.021521,0.019233,0.015169,0.015914,0.016159,0.013221,0.014323,0.017104,0.009515,0.01506,0.015977,0.013847,0.01754,0.020936,0.015344,0.010532,0.014601,0.017213,0.016276,0.011605,0.013399,0.016133,0.023186,0.015807,0.012637,0.018519,0.01721,0.014183,0.013771,0.015853,0.015457,0.020735,0.016776,0.018447
G005,0.014918,0.025392,0.017797,0.017909,0.001683,0.018766,0.016605,0.015215,0.01334,0.014445,0.012709,0.012029,0.014191,0.016178,0.019857,0.017491,0.018375,0.015256,0.017136,0.02155,0.016065,0.022384,0.030282,0.02128,0.017607,0.013643,0.01974,0.013185,0.017463,0.016497,0.015113,0.014221,0.02088,0.015015,0.015938,0.013275,0.021146,0.016756,0.019223,0.017363,0.020372,0.018762,0.017418,0.015736,0.015739,0.021038,0.019009,0.021757,0.014634,0.019945,0.022011,0.016287,0.015028,0.019767,0.001555,0.017464,0.017114,0.016234,0.022286,0.015289,0.017177,0.016575,0.013066,0.021256,0.020506,0.019095,0.020475,0.018635,0.014914,0.013434,0.018568,0.017449,0.013519,0.020268,0.019786,0.017025,0.017591,0.015174,0.01457,0.016978,0.022146,0.013343,0.015952,0.014428,0.013864,0.024156,0.019881,0.015731,0.020861,0.012378,0.017751,0.018733,0.01739,0.020286,0.016101,0.016731,0.019215,0.020653,0.013676,0.017063,0.020468,0.0168,0.016098,0.014768,0.000195,0.01849,0.019796,0.013157,0.022453,0.019291,0.023508,0.020921,0.016868,0.013739,0.013197,0.020832,0.022882,0.020334,0.016125,0.016786,0.017207,0.01407,0.015182,0.01812,0.010187,0.016114,0.01691,0.014791,0.018627,0.022291,0.016023,0.010945,0.015527,0.018369,0.017265,0.01236,0.014063,0.016953,0.024493,0.01681,0.013522,0.01956,0.01827,0.014989,0.014746,0.016893,0.016272,0.021901,0.017961,0.019507
G006,0.014496,0.025028,0.017498,0.017446,0.016068,0.000556,0.016075,0.014861,0.013205,0.014175,0.01238,0.011796,0.013864,0.015901,0.019588,0.017141,0.017831,0.015013,0.016512,0.021166,0.015786,0.021774,0.029801,0.020799,0.017304,0.013217,0.019165,0.012873,0.01705,0.016087,0.014687,0.013829,0.020446,0.014602,0.015534,0.012847,0.020496,0.016285,0.018685,0.016984,0.02001,0.018465,0.016794,0.015574,0.015474,0.020568,0.018403,0.021251,0.014398,0.019441,0.021527,0.015967,0.01459,0.019257,0.020083,0.000191,0.016687,0.015739,0.021923,0.015211,0.016924,0.016433,0.012628,0.020766,0.020272,0.018811,0.02006,0.018108,0.014578,0.013146,0.018087,0.01734,0.013138,0.019891,0.019511,0.016698,0.017219,0.015044,0.014228,0.016771,0.02178,0.013007,0.015785,0.014245,0.013636,0.023662,0.019623,0.01545,0.020652,0.012242,0.017452,0.01862,0.016763,0.019984,0.015827,0.016451,0.018943,0.020436,0.013455,0.016666,0.019885,0.016481,0.015781,0.014379,0.017227,0.000608,0.019446,0.012927,0.021754,0.01878,0.023122,0.020311,0.01662,0.01371,0.012907,0.020332,0.022208,0.019933,0.015802,0.016408,0.016923,0.013864,0.014828,0.017831,0.010081,0.015808,0.016658,0.014368,0.018129,0.021749,0.016103,0.010772,0.015309,0.017967,0.01692,0.01215,0.013915,0.016592,0.02424,0.016574,0.013336,0.019088,0.017614,0.014859,0.014376,0.016547,0.016072,0.021526,0.017431,0.019068
G007,0.014496,0.024993,0.017396,0.017592,0.016014,0.018311,0.002104,0.01476,0.013144,0.01415,0.012436,0.011772,0.014122,0.015891,0.019423,0.017327,0.017959,0.015047,0.01682,0.021167,0.015868,0.022054,0.029646,0.020864,0.017301,0.013319,0.019245,0.012678,0.017108,0.016062,0.014854,0.013854,0.020416,0.014622,0.015423,0.012986,0.0206,0.016354,0.018889,0.016947,0.019913,0.018461,0.017209,0.0155,0.015483,0.0205,0.018481,0.021476,0.014371,0.01964,0.021515,0.016048,0.014782,0.01929,0.019822,0.017138,0.000926,0.015871,0.021797,0.015029,0.016783,0.016217,0.012863,0.020832,0.020193,0.018742,0.020089,0.018275,0.014651,0.013044,0.018053,0.0171,0.013055,0.019884,0.019267,0.01673,0.017303,0.015119,0.014222,0.016614,0.021836,0.013245,0.015464,0.014066,0.013639,0.023531,0.019436,0.015721,0.02069,0.012226,0.017389,0.018497,0.016874,0.019854,0.015781,0.016424,0.018939,0.020382,0.013481,0.016697,0.019776,0.016632,0.01582,0.01443,0.016999,0.018123,0.001017,0.012818,0.022028,0.018958,0.023071,0.020501,0.016659,0.013661,0.012787,0.020442,0.022428,0.019938,0.015746,0.016409,0.016811,0.013679,0.014661,0.017864,0.010021,0.01589,0.016688,0.014431,0.018312,0.021801,0.015811,0.010859,0.015051,0.017747,0.016808,0.012157,0.01386,0.016897,0.024202,0.016499,0.013403,0.019141,0.018043,0.014667,0.014453,0.016689,0.015987,0.021467,0.017526,0.01914
G008,0.013381,0.022758,0.015903,0.015888,0.014595,0.016731,0.014741,0.000397,0.011993,0.012786,0.011442,0.010698,0.012692,0.014483,0.017674,0.015655,0.016133,0.013529,0.015113,0.019171,0.014426,0.020003,0.027028,0.018967,0.015879,0.012013,0.017658,0.011735,0.015521,0.01474,0.013563,0.012728,0.018665,0.013239,0.014028,0.012029,0.018775,0.014854,0.017267,0.015568,0.018202,0.016651,0.015603,0.014028,0.014138,0.01868,0.016882,0.019473,0.01303,0.017988,0.019599,0.014798,0.013239,0.01771,0.018106,0.01571,0.015397,0.000857,0.02009,0.01379,0.015318,0.014716,0.011612,0.019128,0.018489,0.017237,0.018337,0.016662,0.013293,0.012,0.016294,0.015733,0.012049,0.018054,0.017753,0.015358,0.015631,0.013702,0.013118,0.01537,0.019794,0.011949,0.014397,0.013076,0.012267,0.02158,0.017789,0.014287,0.018849,0.011066,0.015992,0.01687,0.015473,0.018122,0.01444,0.014983,0.017258,0.018458,0.012286,0.015383,0.018223,0.015237,0.014601,0.013061,0.015709,0.016536,0.017717,0.001405,0.020157,0.01715,0.021241,0.01859,0.015059,0.012323,0.011791,0.01867,0.020465,0.018395,0.014369,0.015001,0.015374,0.012382,0.013657,0.016162,0.00915,0.014459,0.015163,0.01323,0.01667,0.019914,0.014451,0.0099,0.013883,0.01626,0.015588,0.010887,0.012546,0.015171,0.022008,0.0151,0.012006,0.017604,0.016363,0.013606,0.013229,0.015047,0.014638,0.019626,0.015959,0.017402
G009,0.013988,0.023711,0.016641,0.016586,0.015315,0.017326,0.015304,0.014078,0.000946,0.013449,0.011691,0.011187,0.013367,0.014994,0.018627,0.01621,0.01703,0.014005,0.015891,0.020139,0.014977,0.02076,0.02813,0.01979,0.016378,0.012487,0.018222,0.012155,0.016188,0.015338,0.013857,0.013241,0.019376,0.013755,0.014774,0.012331,0.019556,0.015619,0.017785,0.016192,0.018983,0.017507,0.016183,0.014809,0.01472,0.019482,0.017636,0.020424,0.013632,0.01881,0.020384,0.015221,0.013918,0.018263,0.018828,0.016292,0.016034,0.015085,0.001401,0.014222,0.015971,0.01539,0.012042,0.019938,0.019035,0.017776,0.019033,0.017199,0.013742,0.012325,0.017252,0.016215,0.012495,0.018923,0.018439,0.015936,0.016493,0.014154,0.01362,0.015893,0.020508,0.012261,0.014919,0.013566,0.012726,0.022376,0.01843,0.014769,0.019677,0.011633,0.016474,0.017419,0.016321,0.018837,0.015031,0.015594,0.017931,0.019232,0.01282,0.015791,0.018748,0.015857,0.014996,0.013736,0.016396,0.017131,0.018427,0.012093,0.001526,0.018035,0.02186,0.019339,0.015831,0.012842,0.012185,0.019377,0.021231,0.01884,0.015025,0.015772,0.016023,0.01319,0.014027,0.01695,0.009492,0.01504,0.015633,0.013857,0.017338,0.020657,0.015138,0.010389,0.014454,0.016984,0.016236,0.011439,0.013147,0.016038,0.022936,0.015675,0.012558,0.018227,0.016991,0.014199,0.013655,0.015803,0.015168,0.020475,0.016814,0.018298
G010,0.013575,0.023314,0.016448,0.016327,0.015109,0.017275,0.015223,0.013916,0.012373,0.000879,0.01178,0.01104,0.013081,0.014919,0.018388,0.016212,0.016912,0.014071,0.015726,0.02004,0.014792,0.02068,0.027709,0.019507,0.01632,0.012489,0.018115,0.011953,0.015961,0.015278,0.013861,0.01324,0.019112,0.013718,0.014496,0.012364,0.019338,0.015421,0.017581,0.01601,0.01884,0.017392,0.015958,0.01453,0.014461,0.019568,0.017309,0.020018,0.01346,0.018442,0.020302,0.015038,0.013732,0.018193,0.018792,0.016259,0.015757,0.014831,0.020655,0.000255,0.015857,0.015423,0.011921,0.019532,0.019011,0.017836,0.018927,0.017254,0.013626,0.012384,0.016626,0.016203,0.012453,0.01863,0.018133,0.015834,0.016238,0.014094,0.013299,0.015727,0.020332,0.012527,0.014792,0.013328,0.012754,0.022349,0.018249,0.014637,0.019645,0.011517,0.016485,0.017478,0.015976,0.018516,0.015016,0.015612,0.017615,0.019012,0.01253,0.015713,0.018619,0.015573,0.014762,0.013558,0.015961,0.017075,0.01822,0.012071,0.020597,0.001597,0.021613,0.019112,0.01552,0.012774,0.012194,0.019195,0.021046,0.018779,0.014709,0.015586,0.015862,0.013068,0.014053,0.016612,0.00926,0.014791,0.015647,0.013579,0.017098,0.020426,0.014937,0.010192,0.014256,0.016828,0.01592,0.011311,0.012948,0.015732,0.022685,0.015568,0.012461,0.018047,0.016849,0.014056,0.013554,0.015649,0.014878,0.020166,0.016587,0.01799
