TF	Target	EdgeWeight
G041	G072	0.0021563312
G049	G014	0.0021127267
G100	G008	0.0020858077
G014	G013	0.0020791304
G015	G014	0.0020679801
G085	G100	0.002066317
G013	G015	0.0020601521
G023	G006	0.0020442382
G082	G079	0.0020413639
G072	G041	0.0020375203
G008	G100	0.0020370488
G013	G014	0.0020308946
G043	G044	0.0020289167
G100	G094	0.0020266245
G014	G049	0.0020147075
G080	G078	0.0020106218
G014	G015	0.0020099434
G013	G049	0.0020075135
G070	G094	0.0020061962
G015	G013	0.0020013687
G010	G085	0.0019978846
G022	G071	0.0019976345
G049	G013	0.001993562
G033	G100	0.0019903195
G085	G094	0.0019893204
G006	G067	0.0019870205
G085	G076	0.001985691
G008	G094	0.0019838314
G010	G100	0.0019822295
G037	G100	0.0019719345
G015	G049	0.001971716
G033	G085	0.0019704192
G085	G065	0.0019630329
G008	G070	0.0019597178
G085	G070	0.0019585195
G067	G006	0.0019582591
G003	G072	0.0019551239
G023	G067	0.0019509334
G016	G014	0.0019502189
G016	G049	0.001949744
G078	G072	0.0019482101
G023	G022	0.0019468874
G100	G085	0.0019456241
G071	G022	0.0019452886
G049	G016	0.0019449416
G071	G005	0.0019330027
G060	G031	0.0019295282
G010	G094	0.0019262722
G014	G016	0.0019247022
G100	G065	0.0019246865
G022	G005	0.0019246786
G094	G008	0.0019225818
G085	G008	0.0019212496
G078	G080	0.0019203353
G041	G028	0.0019181417
G044	G041	0.00191792
G063	G067	0.00191779
G028	G008	0.0019169215
G057	G072	0.0019160227
G008	G003	0.001915421
G100	G073	0.0019138905
G100	G033	0.0019134216
G033	G010	0.0019131264
G049	G015	0.0019124744
G038	G004	0.0019123043
G062	G072	0.0019120283
G016	G015	0.0019116948
G044	G043	0.0019110872
G090	G084	0.0019106659
G009	G004	0.0019104829
G023	G100	0.001909233
G008	G085	0.001908815
G077	G004	0.001908548
G007	G072	0.0019079915
G037	G004	0.0019074489
G001	G004	0.001907129
G010	G025	0.0019053828
G007	G032	0.0019043874
G029	G004	0.0019043122
G061	G072	0.0019036197
G094	G100	0.0019030042
G060	G072	0.0019029448
G065	G094	0.0019024693
G085	G010	0.0019022771
G074	G004	0.0019018871
G087	G100	0.001901155
G078	G079	0.0019006365
G076	G094	0.0019005527
G013	G004	0.0018986252
G006	G063	0.0018982871
G069	G004	0.0018982335
G016	G006	0.001898085
G063	G004	0.0018977027
G017	G031	0.0018971667
G094	G085	0.001896367
G073	G085	0.0018956718
G049	G048	0.0018952334
G068	G041	0.0018936961
G062	G083	0.0018936427
G079	G082	0.0018924506
G070	G096	0.001892293
G072	G003	0.001891826
G083	G064	0.001891534
G013	G067	0.001889832
G010	G004	0.001889827
G085	G004	0.0018896103
G058	G004	0.0018887735
G082	G044	0.0018879785
G090	G047	0.0018876764
G068	G007	0.0018870216
G012	G003	0.001886963
G023	G071	0.0018869297
G031	G007	0.001886552
G085	G033	0.0018865403
G061	G004	0.0018862077
G015	G016	0.0018856116
G037	G008	0.0018855699
G048	G071	0.0018855294
G017	G084	0.0018850579
G070	G100	0.0018842883
G079	G078	0.001884194
G078	G038	0.0018840573
G013	G002	0.0018839511
G085	G087	0.0018829164
G011	G024	0.0018828919
G100	G029	0.0018826876
G090	G028	0.0018824259
G056	G004	0.0018821396
G090	G031	0.001881734
G085	G039	0.0018813849
G060	G084	0.0018812296
G068	G032	0.0018810922
G032	G005	0.001880382
G100	G090	0.0018800491
G023	G004	0.0018797093
G018	G100	0.0018796396
G082	G004	0.0018793164
G018	G044	0.0018792955
G009	G084	0.0018790292
G048	G049	0.0018790269
G018	G085	0.0018786842
G065	G100	0.0018785159
G028	G004	0.0018785115
G037	G039	0.0018778475
G064	G083	0.0018777469
G060	G002	0.0018775736
G085	G002	0.0018773228
G090	G006	0.0018770698
G009	G025	0.0018770146
G042	G028	0.0018767545
G083	G062	0.0018755046
G011	G041	0.0018754924
G009	G032	0.0018753706
G051	G010	0.0018749383
G094	G010	0.0018743507
G045	G008	0.001873227
G001	G072	0.0018724328
G008	G037	0.0018720581
G026	G072	0.0018719857
G037	G048	0.001871909
