TF	Target	EdgeWeight
G014	G013	0.0021957036
G013	G014	0.0021765078
G049	G013	0.0020879994
G049	G015	0.0020762898
G085	G008	0.0020738514
G013	G049	0.002058612
G014	G049	0.0020440188
G006	G067	0.0020422968
G023	G006	0.0020352798
G006	G023	0.0020331289
G043	G044	0.0020299493
G013	G015	0.002023837
G037	G033	0.002016035
G014	G015	0.0020124468
G071	G022	0.002011983
G080	G078	0.0020099992
G082	G079	0.0020072765
G049	G014	0.0019979
G005	G022	0.0019949172
G008	G100	0.0019942718
G100	G085	0.0019941223
G094	G100	0.0019732881
G016	G013	0.0019702066
G041	G043	0.0019677186
G085	G033	0.0019614361
G037	G070	0.0019608666
G033	G037	0.0019600722
G048	G022	0.001959447
G016	G049	0.0019578103
G078	G080	0.0019567576
G090	G019	0.0019554594
G100	G008	0.0019537553
G070	G094	0.0019531639
G016	G015	0.0019511819
G094	G070	0.0019494852
G041	G072	0.0019490528
G085	G023	0.0019484012
G100	G037	0.0019463656
G100	G073	0.0019459685
G023	G067	0.0019457355
G078	G079	0.0019449458
G094	G033	0.001944795
G022	G005	0.0019427259
G094	G008	0.0019409548
G009	G012	0.0019409345
G079	G082	0.0019385384
G008	G037	0.0019384605
G015	G014	0.0019380985
G041	G003	0.0019373118
G049	G016	0.0019365354
G038	G032	0.0019360984
G015	G013	0.0019353369
G094	G065	0.0019350488
G039	G040	0.0019342392
G005	G071	0.0019341395
G100	G023	0.0019334492
G073	G008	0.0019326336
G100	G070	0.0019312635
G032	G028	0.0019303047
G038	G072	0.001928256
G009	G054	0.0019255434
G085	G073	0.0019249606
G022	G048	0.0019242073
G048	G047	0.0019240807
G079	G078	0.0019237956
G010	G083	0.001921881
G023	G085	0.0019195238
G008	G094	0.0019190162
G041	G012	0.0019186214
G015	G049	0.0019164868
G048	G005	0.0019161805
G006	G063	0.0019153178
G090	G087	0.001915185
G008	G010	0.0019148831
G009	G003	0.0019141228
G070	G008	0.001913916
G063	G006	0.0019135195
G022	G071	0.0019126375
G083	G062	0.0019109736
G049	G006	0.0019105201
G014	G006	0.0019080357
G010	G070	0.0019078939
G090	G070	0.0019078626
G085	G094	0.0019078547
G065	G085	0.0019073943
G084	G087	0.0019070318
G033	G087	0.0019068447
G016	G014	0.0019063234
G076	G073	0.0019062326
G044	G043	0.0019062145
G085	G100	0.0019059434
G073	G037	0.0019057915
G005	G002	0.0019056342
G094	G099	0.0019043897
G088	G008	0.0019040309
G008	G088	0.0019039649
G009	G013	0.0019030278
G090	G052	0.0019029081
G001	G083	0.0019025131
G011	G024	0.0019019179
G001	G019	0.001901438
G091	G026	0.0019013538
G065	G064	0.0019013492
G009	G064	0.0019012368
G037	G008	0.001901209
G070	G100	0.0019009133
G084	G013	0.0019004788
G026	G054	0.001900354
G091	G063	0.0018998936
G009	G036	0.0018993512
G071	G006	0.0018990573
G067	G006	0.0018987824
G096	G008	0.001898749
G001	G012	0.0018982532
G010	G008	0.001898072
G066	G012	0.001897889
G032	G040	0.001897803
G025	G003	0.0018971497
G028	G032	0.0018969872
G070	G085	0.0018963377
G028	G054	0.0018962844
G041	G063	0.0018949755
G090	G050	0.0018949667
G088	G056	0.00189477
G091	G087	0.0018945752
G033	G008	0.001894142
G090	G023	0.0018935567
G009	G034	0.0018934218
G093	G033	0.0018930425
G007	G032	0.0018925085
G038	G020	0.001892402
G001	G032	0.0018922577
G090	G015	0.0018922029
G098	G087	0.0018920217
G011	G030	0.001891956
G048	G071	0.0018919415
G043	G041	0.0018910773
G048	G006	0.0018908273
G013	G060	0.0018905245
G061	G040	0.0018904182
G009	G030	0.0018902168
G041	G056	0.0018901502
G088	G085	0.0018899536
G008	G085	0.0018899125
G084	G030	0.0018897644
G022	G032	0.0018893484
G038	G034	0.001889313
G080	G060	0.0018890736
G075	G034	0.0018890069
G090	G097	0.001888957
G013	G016	0.0018888109
G084	G047	0.0018880309
G065	G012	0.0018877788
G084	G067	0.0018877123
G075	G030	0.0018869775
G018	G053	0.0018868401
G065	G094	0.0018867389
G001	G057	0.0018866174
G076	G037	0.0018864735
G066	G060	0.001886319
G014	G019	0.0018863053
G024	G060	0.0018859279
G094	G012	0.0018854716
G041	G060	0.0018853878
G046	G007	0.0018853395
G011	G032	0.0018853188
G011	G063	0.0018851778
G009	G065	0.0018840191
G100	G093	0.0018839318
G024	G046	0.0018838365
G010	G056	0.0018834416
G091	G010	0.0018834368
G098	G012	0.0018832051
G002	G006	0.001882868
G096	G012	0.0018826354
G028	G013	0.0018824271
G009	G026	0.0018822487
G065	G087	0.001881686
G010	G006	0.0018813196
G010	G040	0.0018812875
G016	G006	0.0018812479
G008	G087	0.0018810988
G029	G054	0.0018809481
G010	G065	0.0018809363
G037	G094	0.0018808771
G014	G016	0.0018804923
G081	G012	0.0018802282
G025	G034	0.0018799568
G016	G060	0.0018798504
G051	G087	0.0018796268
G100	G099	0.0018789793
G085	G087	0.0018787663
G062	G056	0.0018787029
G031	G067	0.0018786701
G016	G036	0.0018786107
G029	G099	0.0018784644
G070	G026	0.0018780209
G021	G003	0.0018777791
G076	G099	0.0018776634
G041	G026	0.0018775754
G026	G038	0.001877495
G015	G016	0.0018773921
G004	G003	0.0018771448
G011	G002	0.0018771229
G014	G060	0.001877112
G098	G013	0.0018767036
G003	G067	0.0018766827
G078	G089	0.0018765826
G037	G088	0.0018764536
G090	G032	0.0018763286
G075	G012	0.0018762423
G099	G073	0.0018762357
G016	G054	0.0018761102
G058	G064	0.001876087
G032	G052	0.0018759896
G088	G037	0.0018755037
G062	G083	0.0018753412
G038	G026	0.0018753322
G087	G023	0.0018752795
G032	G067	0.0018751348
G029	G032	0.0018745785
G038	G052	0.001874379
G004	G012	0.0018741983
G010	G084	0.0018741203
G002	G020	0.0018738195
G038	G036	0.001873812
G099	G026	0.0018737783
G085	G006	0.0018736447
G024	G062	0.0018736355
G011	G072	0.0018736009
G088	G073	0.0018735508
G027	G034	0.0018735138
G041	G013	0.0018733682
G042	G013	0.0018731897
G005	G023	0.0018731565
G068	G064	0.0018731478
G073	G060	0.0018731055
G070	G036	0.0018730898
G010	G086	0.001873033
G016	G056	0.0018729148
G100	G033	0.0018728939
G098	G032	0.0018727997
G011	G019	0.001872458
G066	G022	0.0018724195
G072	G003	0.0018721859
G094	G083	0.0018721421
G024	G050	0.001871919
G072	G041	0.0018718665
G020	G003	0.001871551
G099	G049	0.0018714886
G010	G018	0.0018711694
G023	G002	0.0018708708
G009	G051	0.0018708643
G092	G003	0.0018707634
G041	G080	0.0018706894
G085	G037	0.001870677
G010	G092	0.0018705948
G100	G087	0.0018705892
G092	G060	0.0018704473
G089	G006	0.00187037
G002	G005	0.0018702701
G033	G003	0.0018702194
G085	G070	0.0018701835
G067	G023	0.0018701548
G049	G019	0.0018701293
G039	G013	0.0018701215
G046	G019	0.0018700828
G054	G026	0.0018699799
G050	G056	0.0018699622
G071	G089	0.0018698726
G024	G051	0.001869848
G049	G005	0.0018698117
G011	G026	0.0018696926
G031	G003	0.0018696256
G011	G057	0.0018691315
G005	G056	0.0018688425
G026	G033	0.0018686664
G042	G012	0.0018686625
G065	G100	0.0018685848
G069	G012	0.0018685733
G060	G062	0.0018684631
G029	G056	0.0018684464
G005	G051	0.0018682425
G041	G086	0.0018680494
G046	G060	0.0018679517
G008	G045	0.0018679313
G023	G049	0.0018678961
G084	G051	0.0018677898
G049	G083	0.0018676799
G037	G023	0.0018674963
G082	G003	0.0018674897
G087	G008	0.0018674025
G083	G024	0.0018673495
G076	G065	0.0018673011
G061	G006	0.0018672355
G099	G051	0.0018672249
G056	G047	0.0018672136
G090	G048	0.0018668238
G046	G003	0.0018666065
G008	G099	0.0018665859
G002	G086	0.0018664838
G085	G044	0.0018660713
G088	G030	0.0018659505
G064	G005	0.0018655336
G005	G047	0.0018655201
G084	G093	0.0018653907
G089	G054	0.001865377
G099	G036	0.001865283
G001	G036	0.0018652279
G010	G099	0.0018652147
G065	G010	0.001865066
G034	G052	0.0018650076
G025	G054	0.0018648728
