TF	Target	EdgeWeight
G044	G017	0.0154987965
G016	G017	0.015427507
G044	G030	0.015393057
G011	G041	0.015376521
G029	G046	0.015364594
G044	G011	0.015353077
G039	G022	0.015331925
G034	G038	0.015331704
G035	G013	0.0153229935
G039	G008	0.015320652
G035	G026	0.015305979
G039	G046	0.015305075
G010	G004	0.015304492
G012	G016	0.015300119
G020	G021	0.015297887
G012	G008	0.015296621
G031	G015	0.015292266
G004	G017	0.01529035
G034	G030	0.015288728
G042	G022	0.015278775
G017	G016	0.015278154
G017	G006	0.0152777
G019	G046	0.015274419
G044	G046	0.015271844
G020	G043	0.01527103
G017	G018	0.015270762
G031	G011	0.015268678
G017	G034	0.015267814
G010	G038	0.015267545
G010	G033	0.015266905
G020	G025	0.015266655
G039	G041	0.015266257
G034	G017	0.015265254
G034	G011	0.015262331
G031	G026	0.015261206
G021	G037	0.015260168
G021	G033	0.0152594885
G031	G004	0.015258569
G028	G039	0.015256295
G048	G020	0.015253473
G021	G019	0.015252726
G021	G043	0.015251527
G031	G030	0.015250141
G028	G046	0.015243554
G020	G016	0.015242584
G018	G037	0.015241781
G029	G035	0.015241711
G026	G033	0.015241548
G039	G047	0.015241179
G010	G005	0.015241072
G029	G006	0.015240597
G034	G024	0.015240282
G021	G025	0.015239759
G029	G007	0.015239733
G031	G043	0.015239543
G021	G035	0.015238458
G011	G039	0.015237516
G021	G031	0.015237101
G011	G022	0.015235087
G034	G050	0.015233559
G031	G033	0.0152317295
G012	G043	0.015230889
G044	G033	0.015230364
G041	G006	0.015229661
G035	G003	0.015229067
G021	G016	0.01522732
G010	G023	0.015227219
G020	G017	0.015226699
G021	G013	0.015226619
G010	G026	0.015226609
G049	G015	0.015225216
G030	G047	0.01522518
G021	G004	0.015225033
G023	G033	0.015224297
G004	G020	0.015223055
G016	G011	0.015222643
G002	G011	0.015222425
G010	G031	0.015222255
G048	G045	0.015222054
G029	G008	0.015221828
G048	G011	0.0152209485
G017	G038	0.015220757
G017	G005	0.015220662
G020	G030	0.015220366
G010	G014	0.015219929
G017	G013	0.01521982
G011	G018	0.015218912
G031	G017	0.015218561
G039	G049	0.015217286
G016	G021	0.015217242
G044	G007	0.015216458
